Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,VPR Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
156032,,10,Critical,10.101.101.176,tcp,0,Apache Log4j Unsupported Version Detection,A logging library running on the remote host is no longer supported.,"According to its self-reported version number, the installation of Apache Log4j on the remote host is no longer supported. Log4j reached its end of life prior to 2016.

Lack of support implies that no new security patches for the product will be released by the vendor. As a result, it is likely to contain security vulnerabilities.","Upgrade to a version of Apache Log4j that is currently supported.

Upgrading to the latest versions for Apache Log4j is highly recommended as intermediate versions / patches have known high severity vulnerabilities and the vendor is updating their advisories often as new research and knowledge about the impact of Log4j is discovered. Refer to https://logging.apache.org/log4j/2.x/security.html for the latest versions.",http://www.nessus.org/u?59f655a2,"
  Path              : /u01/app/oracle/product/12.1.0/dbhome_1/ccr/lib/log4j-core.jar
  Installed version : 1.1.1
",,10,,,,Critical,,IAVA:0001-A-0650,,13-12-21,18-05-22,,,
156032,,10,Critical,10.101.101.175,tcp,0,Apache Log4j Unsupported Version Detection,A logging library running on the remote host is no longer supported.,"According to its self-reported version number, the installation of Apache Log4j on the remote host is no longer supported. Log4j reached its end of life prior to 2016.

Lack of support implies that no new security patches for the product will be released by the vendor. As a result, it is likely to contain security vulnerabilities.","Upgrade to a version of Apache Log4j that is currently supported.

Upgrading to the latest versions for Apache Log4j is highly recommended as intermediate versions / patches have known high severity vulnerabilities and the vendor is updating their advisories often as new research and knowledge about the impact of Log4j is discovered. Refer to https://logging.apache.org/log4j/2.x/security.html for the latest versions.",http://www.nessus.org/u?59f655a2,"
  Path              : /u01/app/oracle/product/12.1.0/dbhome_1/ccr/lib/log4j-core.jar
  Installed version : 1.1.1
",,10,,,,Critical,,IAVA:0001-A-0650,,13-12-21,18-05-22,,,
156032,,10,Critical,10.101.101.174,tcp,0,Apache Log4j Unsupported Version Detection,A logging library running on the remote host is no longer supported.,"According to its self-reported version number, the installation of Apache Log4j on the remote host is no longer supported. Log4j reached its end of life prior to 2016.

Lack of support implies that no new security patches for the product will be released by the vendor. As a result, it is likely to contain security vulnerabilities.","Upgrade to a version of Apache Log4j that is currently supported.

Upgrading to the latest versions for Apache Log4j is highly recommended as intermediate versions / patches have known high severity vulnerabilities and the vendor is updating their advisories often as new research and knowledge about the impact of Log4j is discovered. Refer to https://logging.apache.org/log4j/2.x/security.html for the latest versions.",http://www.nessus.org/u?59f655a2,"
  Path              : /u01/app/oracle/product/12.1.0/dbhome_1/ccr/lib/log4j-core.jar
  Installed version : 1.1.1
",,10,,,,Critical,,IAVA:0001-A-0650,,13-12-21,18-05-22,,,
110070,CVE-2018-1124,7.5,Critical,10.101.101.176,tcp,0,Oracle Linux 7 : procps-ng (ELSA-2018-1700),The remote Oracle Linux host is missing one or more security updates.,"From Red Hat Security Advisory 2018:1700 :

An update for procps-ng is now available for Red Hat Enterprise Linux 7.

Red Hat Product Security has rated this update as having a security impact of Important. A Common Vulnerability Scoring System (CVSS) base score, which gives a detailed severity rating, is available for each vulnerability from the CVE link(s) in the References section.

The procps-ng packages contain a set of system utilities that provide system information, including ps, free, skill, pkill, pgrep, snice, tload, top, uptime, vmstat, w, watch, and pwdx.

Security Fix(es) :

* procps-ng, procps: Integer overflows leading to heap overflow in file2strvec (CVE-2018-1124)

* procps-ng, procps: incorrect integer size in proc/alloc.* leading to truncation / integer overflow issues (CVE-2018-1126)

For more details about the security issue(s), including the impact, a CVSS score, and other related information, refer to the CVE page(s) listed in the References section.

Red Hat would like to thank Qualys Research Labs for reporting these issues.",Update the affected procps-ng packages.,https://oss.oracle.com/pipermail/el-errata/2018-May/007762.html,"
Remote package installed : procps-ng-3.3.10-17.el7
Should be                : procps-ng-3.3.10-17.el7_5.2

",II,9.8,5.9,8.8,6.7,High,,RHSA:2018:1700;IAVA:2018-A-0174,,24-05-18,27-09-19,,,
118780,CVE-2017-18198,7.5,Critical,10.101.101.176,tcp,0,Oracle Linux 7 : libcdio (ELSA-2018-3246),The remote Oracle Linux host is missing one or more security updates.,"From Red Hat Security Advisory 2018:3246 :

An update for libcdio is now available for Red Hat Enterprise Linux 7.

Red Hat Product Security has rated this update as having a security impact of Low. A Common Vulnerability Scoring System (CVSS) base score, which gives a detailed severity rating, is available for each vulnerability from the CVE link (s) in the References section.

The libcdio library provides an interface for CD-ROM access. It can be used by applications that need OS-independent and device-independent access to CD-ROM devices.

Security Fix(es) :

* libcdio: Heap-based buffer over-read in print_iso9660_recurse function in iso-info.c (CVE-2017-18198)

* libcdio: NULL pointer dereference in realloc_symlink in rock.c (CVE-2017-18199)

* libcdio: Double free in get_cdtext_generic() in lib/driver/_cdio_generic.c (CVE-2017-18201)

For more details about the security issue(s), including the impact, a CVSS score, and other related information, refer to the CVE page(s) listed in the References section.

Additional Changes :

For detailed information on changes in this release, see the Red Hat Enterprise Linux 7.6 Release Notes linked from the References section.",Update the affected libcdio packages.,https://oss.oracle.com/pipermail/el-errata/2018-November/008208.html,"
Remote package installed : libcdio-0.92-1.el7
Should be                : libcdio-0.92-3.el7

",,9.8,5.5,8.5,5.9,High,,RHSA:2018:3246,,07-11-18,14-04-21,,,
121279,CVE-2018-18311,7.5,Critical,10.101.101.176,tcp,0,Oracle Linux 7 : perl (ELSA-2019-0109),The remote Oracle Linux host is missing one or more security updates.,"From Red Hat Security Advisory 2019:0109 :

An update for perl is now available for Red Hat Enterprise Linux 7.

Red Hat Product Security has rated this update as having a security impact of Important. A Common Vulnerability Scoring System (CVSS) base score, which gives a detailed severity rating, is available for each vulnerability from the CVE link(s) in the References section.

Perl is a high-level programming language that is commonly used for system administration utilities and web programming.

Security Fix(es) :

* perl: Integer overflow leading to buffer overflow in Perl_my_setenv() (CVE-2018-18311)

For more details about the security issue(s), including the impact, a CVSS score, and other related information, refer to the CVE page(s) listed in the References section.

Red Hat would like to thank the Perl project for reporting this issue.
Upstream acknowledges Jayakrishna Menon as the original reporter.",Update the affected perl packages.,https://oss.oracle.com/pipermail/el-errata/2019-January/008382.html,"
Remote package installed : perl-5.16.3-292.el7
Should be                : perl-5.16.3-294.el7_6

Remote package installed : perl-Pod-Escapes-1.04-292.el7
Should be                : perl-Pod-Escapes-1.04-294.el7_6

Remote package installed : perl-libs-5.16.3-292.el7
Should be                : perl-libs-5.16.3-294.el7_6

Remote package installed : perl-macros-5.16.3-292.el7
Should be                : perl-macros-5.16.3-294.el7_6

",,9.8,5.5,8.5,6.7,High,,RHSA:2019:0109,,22-01-19,24-02-20,,,
123646,CVE-2018-8786,7.5,Critical,10.101.101.176,tcp,0,Oracle Linux 7 : freerdp (ELSA-2019-0697),The remote Oracle Linux host is missing one or more security updates.,"From Red Hat Security Advisory 2019:0697 :

An update for freerdp is now available for Red Hat Enterprise Linux 7.

Red Hat Product Security has rated this update as having a security impact of Important. A Common Vulnerability Scoring System (CVSS) base score, which gives a detailed severity rating, is available for each vulnerability from the CVE link(s) in the References section.

FreeRDP is a free implementation of the Remote Desktop Protocol (RDP), released under the Apache license. The xfreerdp client can connect to RDP servers such as Microsoft Windows machines, xrdp, and VirtualBox.

Security Fix(es) :

* freerdp: Integer truncation leading to heap-based buffer overflow in update_read_bitmap_update() function (CVE-2018-8786)

* freerdp: Integer overflow leading to heap-based buffer overflow in gdi_Bitmap_Decompress() function (CVE-2018-8787)

* freerdp: Out-of-bounds write in nsc_rle_decode() function (CVE-2018-8788)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.",Update the affected freerdp packages.,https://oss.oracle.com/pipermail/el-errata/2019-April/008620.html,"
Remote package installed : freerdp-libs-1.0.2-15.el7
Should be                : freerdp-libs-1.0.2-15.el7_6.1

",,9.8,5.5,8.5,6.7,High,,RHSA:2019:0697,,03-04-19,27-01-20,,,
125190,CVE-2019-5953,7.5,Critical,10.101.101.176,tcp,0,Oracle Linux 7 : wget (ELSA-2019-1228),The remote Oracle Linux host is missing a security update.,"From Red Hat Security Advisory 2019:1228 :

An update for wget is now available for Red Hat Enterprise Linux 7.

Red Hat Product Security has rated this update as having a security impact of Important. A Common Vulnerability Scoring System (CVSS) base score, which gives a detailed severity rating, is available for each vulnerability from the CVE link(s) in the References section.

The wget packages provide the GNU Wget file retrieval utility for HTTP, HTTPS, and FTP protocols.

Security Fix(es) :

* wget: do_conversion() heap-based buffer overflow vulnerability (CVE-2019-5953)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.",Update the affected wget package.,https://oss.oracle.com/pipermail/el-errata/2019-May/008733.html,"
Remote package installed : wget-1.14-15.el7_4.1
Should be                : wget-1.14-18.el7_6.1

",,9.8,5.5,8.5,5.9,High,,RHSA:2019:1228,,16-05-19,17-01-20,,,
126142,CVE-2019-10160,5,Critical,10.101.101.176,tcp,0,Oracle Linux 7 : python (ELSA-2019-1587),The remote Oracle Linux host is missing one or more security updates.,"From Red Hat Security Advisory 2019:1587 :

An update for python is now available for Red Hat Enterprise Linux 7.

Red Hat Product Security has rated this update as having a security impact of Important. A Common Vulnerability Scoring System (CVSS) base score, which gives a detailed severity rating, is available for each vulnerability from the CVE link(s) in the References section.

Python is an interpreted, interactive, object-oriented programming language, which includes modules, classes, exceptions, very high level dynamic data types and dynamic typing. Python supports interfaces to many system calls and libraries, as well as to various windowing systems.

Security Fix(es) :

* python: regression of CVE-2019-9636 due to functional fix to allow port numbers in netloc (CVE-2019-10160)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.",Update the affected python packages.,https://oss.oracle.com/pipermail/el-errata/2019-June/008851.html,"
Remote package installed : python-2.7.5-68.0.1.el7
Should be                : python-2.7.5-80.0.1.el7_6

Remote package installed : python-libs-2.7.5-68.0.1.el7
Should be                : python-libs-2.7.5-80.0.1.el7_6

",,9.8,3.7,8.5,6.7,Medium,,RHSA:2019:1587,,24-06-19,10-01-20,,,
128298,CVE-2019-1010238,7.5,Critical,10.101.101.176,tcp,0,Oracle Linux 7 : pango (ELSA-2019-2571),The remote Oracle Linux host is missing one or more security updates.,"From Red Hat Security Advisory 2019:2571 :

An update for pango is now available for Red Hat Enterprise Linux 7.

Red Hat Product Security has rated this update as having a security impact of Important. A Common Vulnerability Scoring System (CVSS) base score, which gives a detailed severity rating, is available for each vulnerability from the CVE link(s) in the References section.

Pango is a library for laying out and rendering of text, with an emphasis on internationalization. Pango forms the core of text and font handling for the GTK+ widget toolkit.

Security Fix(es) :

* pango: pango_log2vis_get_embedding_levels() heap-based buffer overflow (CVE-2019-1010238)

For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.",Update the affected pango packages.,https://oss.oracle.com/pipermail/el-errata/2019-August/009087.html,"
Remote package installed : pango-1.40.4-1.el7
Should be                : pango-1.42.4-4.el7_7

",,9.8,5.5,8.5,6.7,High,,RHSA:2019:2571,,28-08-19,31-12-19,,,
